MUNICIPIO,PUNTO UBICACIÓN ZONA WIFI,DIRECCION,UBICACIÓN,Ubicación en dos columnas
Alcalá,Parque Principal,Calle 6 y Kra 8,"(4.674842, -75.7816764)","(4674842, -757816764)"
Andalucía,Parque vicente H Cruz,Kra 4  calles 12 y13,"(4.169116, -76.166822)","(4169116, -76166822)"
Andalucía,Pista Atlética Carrera entre Calle 20 y 21,Kra 9 calles 20 y 21,"(4.178349, -76.167739)","(4178349, -76167739)"
Ansermanuevo,Parque principal,Kra 4 calle 6 y 7,"(4.795675, -75.994323)","(4795675, -75994323)"
Ansermanuevo,Corregimiento gramalote(Centro recreacional),Calle 2 # 3-03E,"(4.785249, -75.987243)","(4785249, -75987243)"
Argelia,Parque principal,Kra 6 calles 4 y 3,"(4.726955, -76.121231)","(4726955, -76121231)"
Argelia,Barrio el triangulo,Calle 4 con carrera 4 No. 4-20,"(4.727974, -76.120946)","(4727974, -76120946)"
Bolívar,Parque principal corregimiento de Ricaute,Kra 5 con calle 4,"(4.337018, -76.185269)","(4337018, -76185269)"
Bolívar,Parque principal corregimiento de la Tulia,3 carrera con calle 3,"(4.384373, -76.244706)","(4384373, -76244706)"
Buenaventura,Muelle turístico,carrera 2 y calle 1,"(3.889755, -77.079118)","(3889755, -77079118)"
Buenaventura,Plaza juan XXIII,carrera 6 diagonal 4A,"(3.885406, -77.074322)","(3885406, -77074322)"
Buga,Parque Alto Bonito,Kra 7E y 8E Calles 12A y 13,"(3.8996, -76.286568)","(3899600, -76286568)"
Buga,Parque José maria cabal,calle 7 y 6 entre carrera 14-15,"(3.900149, -76.30159)","(3900149, -76301590)"
Buga,Parque Maria Luisa de la Espada,Cra. 14 entre 22 y 23,"(3.912683, -76.296226)","(3912683, -76296226)"
Bugalagrande,Parque barrio cocicoimpa,Calle 1 sur con Cra 7 sur,"(4.203232, -76.159826)","(4203232, -76159826)"
Bugalagrande,Parque barrio San Bernabé,Calle 6 Cra 7,"(4.213077, -76.15738)","(4213077, -76157380)"
Bugalagrande,Parque la Maria II Etapa,Calle 9 sur Cra 7 sur,"(4.199214, -76.161202)","(4199214, -76161202)"
Caicedonia,Parque Principal el Carmen,calle 8 y 9 con carrera 15,"(4.331927, -75.828845)","(4331927, -75828845)"
Caicedonia,Parque Gutierrez y Arango,calle 12 y 13 con carrera 25,"(4.335018, -75.828498)","(4335018, -75828498)"
Cali,Plaza de San Francisco,Cra 6 entre calle 9 y 10,"(3.449622, -76.533582)","(3449622, -76533582)"
Cali,San Antonio,Cra 4 y 5 entre calle 12,"(3.451764, -76.532252)","(3451764, -76532252)"
Calima,Parque principal,calle 10 con carrera 6 y7,"(3.931984, -76.484016)","(3931984, -76484016)"
Calima,Museo Arqueológico,Calle 10 # 12-50,"(3.933183, -76.488565)","(3933183, -76488565)"
Candelaria,Parque principal casco Urbano,Calles 9 y 10 entre Cra 7 y 8,"(3.40919, -76.347225)","(3409190, -76347225)"
Candelaria,Poblado campestre,Entre calle 20 y 20B y Carrera 39 y 39B,"(3.4112, -76.458281)","(3411200, -76458281)"
Cartago,Plaza de Mercado,Cra 6 entre calles 11 y 13,"(4.748171, -75.914572)","(4748171, -75914572)"
Cartago,Parque de Guadalupe ( iglesia),Cra 4y 5 entre calle 8 y 9,"(4.750081, -75.9094889)","(4750081, -759094889)"
Cartago,peatonal de la calle casa del virrey,calle 13 entre carrera 4 y 5,"(4.749696, -75.914778)","(4749696, -75914778)"
Dagua,Parque Ricaute,calle 9 con calle 22,"(3.656725, -76.687149)","(3656725, -76687149)"
Dagua,Parque El llanito,Cra 13 entre calle 6 y 7,"(3.659273, -76.692106)","(3659273, -76692106)"
El Águila,Sector rural el cofre,Corregimiento el Cofre,"(4.96029, -76.060867)","(4960290, -76060867)"
El Cairo,Parque principal,Cra 5 con calle 8 esquina,"(4.762018, -76.220969)","(4762018, -76220969)"
El Cairo,Hostal el Cairo,Cra 3 con calle 9 No. 9-10,"(4.761845, -76.219621)","(4761845, -76219621)"
El cerrito,Brisas de la merced ( teatrino marina Arango),Calle 1a sur  y carrera 12,"(3.681208, -76.313158)","(3681208, -76313158)"
El cerrito,Parque el placer (corregimiento),Calle 7 entre carreras 6 y 7,"(3.609134, -76.270786)","(3609134, -76270786)"
El Dovio,El Ceres El Dovio,Cra 7 No.  7-80 barrio Nicolás Borrero,"(4.511452, -76.238467)","(4511452, -76238467)"
El Dovio,Parque principal barrio central,Cra 7 y 8 calle 7 esquina,"(4.51187, -76.238061)","(4511870, -76238061)"
Florida,Parque chocosito,Cra 20 entre 9 y 10,"(3.32579, -76.23653)","(3325790, -76236530)"
Florida,Parque bosque Municipal,Calle 6 con cra 7,"(3.318485, -76.229138)","(3318485, -76229138)"
Ginebra,Zona deportiva estadio y parque recreativo ( proyecto parque biosaludable),carrera 6 No. 7-02,"(3.722706, -76.266657)","(3722706, -76266657)"
Ginebra,Parque del samán,Cra 2N con calle 9 y 10,"(3.727718, -76.26636)","(3727718, -76266360)"
Guacarí,Casa de la cultura,Calle 4 No 7 - 46,"(3.764259, -76.333096)","(3764259, -76333096)"
Guacarí,Parque principal,calle 3 y 4 con carrera 8 y 9,"(3.763176, -76.334625)","(3763176, -76334625)"
Guacarí,Plazoleta galería,calle 6 y séptima con carrera 6,"(3.764801, -76.331914)","(3764801, -76331914)"
Jamundí,Coliseo Alfaguara (imdere), Calle 2 / carrera 15,"(3.257292, -76.549701)","(3257292, -76549701)"
Jamundí,Villa paz ( parque principal),Corregimiento Villa Paz,"(3.134501, -76.543831)","(3134501, -76543831)"
Jamundí,Jamundí ( parque principal),carrera 10 y 11,"(3.261188, -76.540622)","(3261188, -76540622)"
Jamundí,Robles ( parque principal),Corregimiento de Robles,"(3.12938, -76.594378)","(3129380, -76594378)"
Jamundí,Jamundí ( parque Bello Horizontal),Carrera 6 con Calle 16B,"(3.265211, -76.533906)","(3265211, -76533906)"
La cumbre,Parque Villanueva,Cra 7y 8 entre calle 3 y 4,"(3.650545, -76.56992)","(3650545, -76569920)"
La cumbre,Parque el samán,corregimiento de pavas,"(3.677015, -76.584284)","(3677015, -76584284)"
La Unión,Parque principal Argemiro escobar Cardona,calle 15 No 16-49,"(4.532022, -76.10336)","(4532022, -76103360)"
La Unión,Casa de la cultura y la Ermita,Cra 10 entre calle 14 y 15,"(4.530848, -76.098809)","(4530848, -76098809)"
La Unión,Parque San Pedro,Calle 22 y 23,"(4.539235, -76.102413)","(4539235, -76102413)"
La victoria,Parque principal los fundadores casco,calle 8 y 9 con cra 6 y 7,"(4.523025, -76.035533)","(4523025, -76035533)"
La victoria,Parque lanceros (caso urbano),Calle 6 b con Cra 6 y 5,"(4.521442, -76.035126)","(4521442, -76035126)"
Obando,ciudadela Obando,Cra 2 con calle 9,"(4.579299, -75.972201)","(4579299, -75972201)"
Obando,Villa Europa,Calle 5 con carrera 5D,"(4.576569, -75.974544)","(4576569, -75974544)"
Palmira,Parque del corregimiento de rozo,Avenida 9 con calle 10,"(3.614771, -76.385992)","(3614771, -76385992)"
Palmira,Parque santa teresita,Transv. 39 con calle 48 esquina,"(3.543287, -76.310057)","(3543287, -76310057)"
Palmira,Parque del Amor,Calle 32 con carrera 18 esquina,"(3.528156, -76.290424)","(3528156, -76290424)"
Palmira,Parque Llano grande,Calle 31/carrera 44,"(3.528755, -76.317546)","(3528755, -76317546)"
Palmira,Parque villa diana,Calle 63/Cra 41,"(3.54938, -76.311582)","(3549380, -76311582)"
Pradera,Cic  Villa marina,calle 8 con carrera 20,"(3.424167, -76.248579)","(3424167, -76248579)"
Pradera,Cachas Galería,calle 8 con carrera 13 esq.,"(3.420553, -76.24493)","(3420553, -76244930)"
Restrepo,Parque media torta,calle 11 y 13 con carrera 14 y 16,"(3.822281, -76.525193)","(3822281, -76525193)"
Restrepo,Zona Uniciencia Barrio Galán,Cra 16B con calle 5,"(3.818757, -76.526512)","(3818757, -76526512)"
Riofrío,Parque principal cabecera Municipal,calle 4 con carrera 9,"(4.155844, -76.287661)","(4155844, -76287661)"
Riofrío,Casa de la cultura cabecera Municipal,Cra 9 con calle 4,"(4.155835, -76.287637)","(4155835, -76287637)"
Roldanillo,Barrio Humberto Gonzalez Narváez ( Iglesia),Carrera 10 con carrera 11,"(4.407174, -76.152023)","(4407174, -76152023)"
Roldanillo,Parque la Ermita,calle 4 con carrera 8,"(4.411925, -76.156903)","(4411925, -76156903)"
Roldanillo,Parque san Sebastián (ELIAS GUERRERO),Carrera 7 con carrera 8,"(4.410627, -76.154365)","(4410627, -76154365)"
San Pedro,Parque recreacional San Pedro, Carrera 6 / Calle 7,"(3.998181, -76.230064)","(3998181, -76230064)"
San Pedro,"Plaza principal, Presidente",corregimiento presidente,"(3.958652, -76.267733)","(3958652, -76267733)"
Sevilla,Parque de la Concordia,Calle 50 con Kra 50,"(4.264487, -75.934324)","(4264487, -75934324)"
Sevilla,Vereda San Antonio,vereda San Antonio,"(4.049909, -76.335569)","(4049909, -76335569)"
Sevilla,Vereda Cebollal,vereda El Cebollal,"(4.166356, -75.908098)","(4166356, -75908098)"
Toro,Barrio El Lazano,Calle 11  sector centro,"(4.609331, -76.078598)","(4609331, -76078598)"
Toro,Barrio El Chanco,Calle 12 No. 2 sur-290,"(4.602905, -76.078817)","(4602905, -76078817)"
Trujillo,Corregimiento Andinapolis,Corregimiento Andinanapolis Parque ppal.,"(4.16736, -76.385997)","(4167360, -76385997)"
Trujillo,Corregimiento de Venecia,Corregimiento de Venecia,"(4.193995, -76.390707)","(4193995, -76390707)"
Tuluá,Coliseo de Ferias Manuel Victoria Rojas,Calle 13 con cra 30,"(4.095217, -76.186411)","(4095217, -76186411)"
Tuluá,Plaza Cívica Boyacá,calle 25 y 26 con carrera 25 y 26,"(4.085698, -76.197302)","(4085698, -76197302)"
Tuluá,Polideportivo Barrio Alameda,"Cl. 5 #22-45,","(4.100447, -76.199221)","(4100447, -76199221)"
Tuluá,Lago Chilicote,calle 34 con carrera 21,"(4.078504, -76.202735)","(4078504, -76202735)"
Ulloa,Parque principal,Cra 3 y 4 con calle 7,"(4.703495, -75.737876)","(4703495, -75737876)"
Ulloa,Casa de la cultura,calle 4 y 5 con cra. 2 y 3,"(4.703828, -75.737838)","(4703828, -75737838)"
Versalles,Parque principal,calle 9 entre carrera 6 y 7,"(4.575306, -76.1998)","(4575306, -76199800)"
Versalles,Casa de la cultura,calle 8 con carrera 2 esquina,"(4.575597, -76.197138)","(4575597, -76197138)"
Vijes,Parque principal,Cra 4 y 5 entre calle 5 y 6,"(3.700335, -76.44287)","(3700335, -76442870)"
Vijes,Parque Villa Esperanza,calle 8 con calle 7,"(3.696044, -76.442244)","(3696044, -76442244)"
Yotoco,Parque Recreacional,Cra 7 nro. 5-37,"(3.861095, -76.385163)","(3861095, -76385163)"
Yotoco,Instituto Municipal de Deportes,Cra 7 No. 5-37,"(3.860806, -76.382856)","(3860806, -76382856)"
Yumbo,Parque Barrio Guadalupe,Calle 16 No. 16n 30,"(3.58389, -76.4855)","(3583890, -76485500)"
Yumbo,IMDERTY,Calle 16 Kra 4,"(3.582572, -76.48304)","(3582572, -76483040)"
Yumbo,Polideportivo Comfandi,calle 14D con carrera 10,"(3.580623, -76.487134)","(3580623, -76487134)"
Yumbo,Parque de la Estancia,calle 19 con carrera 20,"(3.570042, -76.480791)","(3570042, -76480791)"
Zarzal,Parque Santander,Calle 10 calle 11 con Cra 9 y 10,"(4.39529, -76.071288)","(4395290, -76071288)"
Zarzal,Parque Barrio Bolívar,Calle 14 y 15 con Cra 8 y 9,"(4.397268, -76.068125)","(4397268, -76068125)"
Alcalá,Parque Recreacional,Entre Calle 6B y Kra 5C,"(4.675468, -75.779977)",
